"year","subarea","n","mean","se"
2019,"south",854,6.98423445364351,0.0838580063188424
2020,"south",854,8.11661892417443,0.06922809558507
2021,"south",854,7.9074219867273,0.0790372083241629
1963,"north",1470,6.20536862194386,0.0669173340226222
1964,"north",1470,6.06689259722119,0.0493173675044454
1965,"north",1470,5.58814263386386,0.0674181788588598
1966,"north",1470,5.40677795904834,0.0507712491072899
1967,"north",1470,6.30183175534618,0.0676394804458048
1968,"north",1470,5.39461167066478,0.0750187672693327
1969,"north",1470,5.16511301645616,0.053910597902134
1970,"north",1470,6.28210590615564,0.0651418568781366
1971,"north",1470,5.74043085283163,0.0535565111092841
1972,"north",1470,7.16150717037876,0.0643849519351448
1973,"north",1470,6.36484019513033,0.0496568640416419
1974,"north",1470,7.74908371790737,0.0520550972355062
1975,"north",1470,7.24088647102012,0.0537711132751106
1976,"north",1470,7.74732002918007,0.0747384689674387
1977,"north",1470,4.89413525281208,0.0718634832489789
1978,"north",1470,6.54214049499659,0.0832432709792071
1979,"north",1470,5.78196806419058,0.0727261302317424
1980,"north",1470,5.45212243913236,0.069272625598015
1981,"north",1470,4.93357076213828,0.0629439139847186
1982,"north",1470,5.34196298419416,0.0663704459058269
1983,"north",1470,7.07483574784532,0.0638160014051569
1984,"north",1470,6.88608495102448,0.0702219266468382
1985,"north",1470,6.68235397428071,0.0759260643036796
1986,"north",1470,7.55575226829165,0.0764673594952003
1987,"north",1470,6.01165174529666,0.0732174347809875
1988,"north",1470,6.7105750954881,0.0778048855514944
1989,"north",1470,6.48704891391352,0.0784701307523901
1990,"north",1470,7.8838016521363,0.0725493033810302
1991,"north",1470,7.41151013796021,0.0639731043434509
1992,"north",1470,6.9682473696008,0.0728046655091613
1993,"north",1470,5.56709418588755,0.0610987366615128
1994,"north",1470,6.16954280154235,0.0788880515949996
1995,"north",1470,7.4048243894058,0.0747793650046146
1996,"north",1470,5.53464416249269,0.0725648639775466
1997,"north",1470,7.89773429040195,0.062110178380255
1998,"north",1470,6.05846422578202,0.0296249832102112
1999,"north",1470,7.97778671128409,0.0762737456230184
2000,"north",1470,7.46578414780753,0.0639146958426063
2001,"north",1470,6.82612941946302,0.0716969098006017
2002,"north",1470,8.49462518075696,0.061127268117801
2003,"north",1470,5.69663449144688,0.0652659931015527
2004,"north",1470,5.14132479907704,0.0631989199567751
2005,"north",1470,5.55642733411724,0.0579948121619687
2006,"north",1470,8.24543894277949,0.0683660423408607
2007,"north",1470,7.30728597835619,0.0653589635925013
2008,"north",1470,7.20595522494543,0.0591306715350556
2009,"north",1470,8.11368873881645,0.0812588625319744
2010,"north",1470,6.29030984648231,0.0629553448509193
2011,"north",1470,6.22114829644054,0.0681269351760828
2012,"north",1470,10.1154259736846,0.0584487757945675
2013,"north",1470,7.22624585855575,0.06164843482336
2014,"north",1470,6.83068646233098,0.0651128698942114
2015,"north",1470,7.46963313842306,0.0715368531065842
2016,"north",1470,8.31393376467179,0.0723263634741899
2017,"north",1470,7.78363153691194,0.0585525622846697
2018,"north",1470,7.0662948151024,0.0699051757339345
2019,"north",1470,7.18317298775627,0.0720651469505604
2020,"north",1470,8.05324323582811,0.0646203017215671
2021,"north",1470,8.02782782664915,0.0743833161173531
