"YEAR","DATA_VALUE","CATEGORY","INDICATOR_TYPE","INDICATOR_NAME"
1989,328185,"Recreational","Socioeconomic","total_recreational_trips_n"
1990,348976,"Recreational","Socioeconomic","total_recreational_trips_n"
1991,250350.7,"Recreational","Socioeconomic","total_recreational_trips_n"
1992,323687.1,"Recreational","Socioeconomic","total_recreational_trips_n"
1993,397220.4,"Recreational","Socioeconomic","total_recreational_trips_n"
1994,340540,"Recreational","Socioeconomic","total_recreational_trips_n"
1995,364435,"Recreational","Socioeconomic","total_recreational_trips_n"
1996,364302,"Recreational","Socioeconomic","total_recreational_trips_n"
1997,521681.5,"Recreational","Socioeconomic","total_recreational_trips_n"
1998,136390.7,"Recreational","Socioeconomic","total_recreational_trips_n"
1999,233598,"Recreational","Socioeconomic","total_recreational_trips_n"
2000,373110,"Recreational","Socioeconomic","total_recreational_trips_n"
2001,447759,"Recreational","Socioeconomic","total_recreational_trips_n"
2002,457155.1,"Recreational","Socioeconomic","total_recreational_trips_n"
2003,463278,"Recreational","Socioeconomic","total_recreational_trips_n"
2004,269853,"Recreational","Socioeconomic","total_recreational_trips_n"
2005,434848.7,"Recreational","Socioeconomic","total_recreational_trips_n"
2006,457052,"Recreational","Socioeconomic","total_recreational_trips_n"
2007,676719,"Recreational","Socioeconomic","total_recreational_trips_n"
2008,495428,"Recreational","Socioeconomic","total_recreational_trips_n"
2009,870738,"Recreational","Socioeconomic","total_recreational_trips_n"
2010,1095333,"Recreational","Socioeconomic","total_recreational_trips_n"
2011,454214,"Recreational","Socioeconomic","total_recreational_trips_n"
2012,697535.6,"Recreational","Socioeconomic","total_recreational_trips_n"
2013,664322.1,"Recreational","Socioeconomic","total_recreational_trips_n"
2014,827577.4,"Recreational","Socioeconomic","total_recreational_trips_n"
2015,1263485.5,"Recreational","Socioeconomic","total_recreational_trips_n"
2016,1102005,"Recreational","Socioeconomic","total_recreational_trips_n"
2017,1153189,"Recreational","Socioeconomic","total_recreational_trips_n"
2018,1159492.3,"Recreational","Socioeconomic","total_recreational_trips_n"
2019,1367989,"Recreational","Socioeconomic","total_recreational_trips_n"
2020,1582995.5,"Recreational","Socioeconomic","total_recreational_trips_n"
2021,1642972.5,"Recreational","Socioeconomic","total_recreational_trips_n"
2022,1591714.3,"Recreational","Socioeconomic","total_recreational_trips_n"
2023,1487630,"Recreational","Socioeconomic","total_recreational_trips_n"
2024,1239056,"Recreational","Socioeconomic","total_recreational_trips_n"
